DOMAINS,REQUEST,BLOCK,IMPRESSION,VIEWABLE,MEASURED,CLICKS,INCIDENTS,COMPLETES
math-aids.com,512,13,,,,,,
eq2.wikia.com,2,0,,,,,,
forums.sherdog.com,2,2,,,,,,
timesofindia.indiatimes.com,2575,1620,,,,,,
ccm.net,14,0,,,,,,
listenonrepeat.com,4,0,,,,,,
goal.com,19,0,,,,,,
disney.wikia.com,3,2,,,,,,
harrypotter.wikia.com,2,1,,,,,,
wcvb.com,2,1,,,,,,
booking.flyfrontier.com,229,187,,,,,,
forum.wordreference.com,12,10,,,,,,
sudokukingdom.com,1,1,,,,,,
kmov.com,2,2,,,,,,
elsiglodetorreon.com.mx,1,1,,,,,,
kiro7.com,26,0,,,,,,
outlook.live.com,155,3,,,,,,
collegeconfidential.com,1,1,,,,,,
hindi.webdunia.com,2,1,,,,,,
weather.weatherbug.com,126,3,,,,,,
sports.yahoo.com,41,0,,,,,,
news.yahoo.com,74,2,,,,,,
money.usnews.com,1,0,,,,,,
xxlmag.com,1,1,,,,,,
desmoinesregister.com,80,18,,,,,,
businessnewsdaily.com,1,0,,,,,,
vacation.hotwire.com,2,0,,,,,,
togetter.com,6,6,,,,,,
ubergizmo.com,5,0,,,,,,
gadgets.ndtv.com,104,3,,,,,,
ccenterdispatch.com,1,0,,,,,,
navbharattimes.indiatimes.com,89,37,,,,,,
maharashtratimes.indiatimes.com,34,0,,,,,,
news8000.com,1,0,,,,,,
travel.usnews.com,1,1,,,,,,
tides.willyweather.com,30,0,,,,,,
willyweather.com,1,0,,,,,,
timeout.com,20,1,,,,,,
riddles.com,2,0,,,,,,
caselaw.findlaw.com,1,1,,,,,,
m.mlb.com,1,1,,,,,,
aberdeennews.com,1,0,,,,,,
apollo.slingbox.com,53,0,,,,,,
online-tech-tips.com,196,2,,,,,,
chieftain.com,2,0,,,,,,
groups.yahoo.com,1,0,,,,,,
theaviationist.com,6,0,,,,,,
worditout.com,88,0,,,,,,
healthstream.com,1,1,,,,,,
wf.webrootanywhere.com,3,3,,,,,,
pt.wikihow.com,5,0,,,,,,
quotes.ino.com,211,0,,,,,,
m.plonga.com,1,0,,,,,,
trending.womensforum.com,126,10,,,,,,
fr.wikihow.com,16,2,,,,,,
educationworld.com,3428,41,,,,,,
corner.bigblueinteractive.com,94,80,,,,,,
games.latimes.com,218,1,,,,,,
beta.meetme.com,4,0,,,,,,
draftwizard.fantasypros.com,302,0,,,,,,
home.suddenlink.net,7,3,,,,,,
stats.cleveland.com,3,0,,,,,,
kvia.com,1,0,,,,,,
cinemassacre.com,2,2,,,,,,
sports.creaders.net,52,49,,,,,,
rootsweb.ancestry.com,16,0,,,,,,
streamdb7web.securenetsystems.net,1604,7,,,,,,
prosportsdaily.sportsdirectinc.com,1,0,,,,,,
microcenter.com,3,2,,,,,,
plan.shoprite.com,2,2,,,,,,
fieldandstream.com,1,1,,,,,,
wkyc.com,16,0,,,,,,
myhockeyrankings.com,1356,1,,,,,,
dying.lovetoknow.com,1,0,,,,,,
stromtrooper.com,1,0,,,,,,
forums.thebump.com,2,2,,,,,,
uv.willyweather.com,9,0,,,,,,
sunrisesunset.willyweather.com,3,0,,,,,,
dnronline.com,1,0,,,,,,
thewindowsclub.com,1,1,,,,,,
network-tools.com,2,0,,,,,,
ultrasurfing.com,3,0,,,,,,
theweathernetwork.com,2,0,,,,,,
tv.twcc.com,1,1,,,,,,
disney.go.com,2,2,,,,,,
disneyjunior.disney.com,2,2,,,,,,
enterpriseportal.disney.com,1,1,,,,,,
disneychannel.disney.com,2,2,,,,,,
student.readingeggs.com,1,1,,,,,,
www54.myfantasyleague.com,17,14,,,,,,
www53.myfantasyleague.com,8,6,,,,,,
oleantimesherald.com,1,0,,,,,,
authorweb.healthstream.com,30,25,,,,,,
games.flyordie.com,1,0,,,,,,
app.box.com,193,167,,,,,,
americanmilitarynews.com,3,2,,,,,,
kcsm.org,7,0,,,,,,
makeagif.com,1457,19,,,,,,
easy96.com,1,0,,,,,,
lastcall.com,1,0,,,,,,
pathfindertalk.com,1,0,,,,,,
schoolspring.com,24,1,,,,,,
newwatch.slingbox.com,5600,26,,,,,,
tbs.com,2,0,,,,,,
myapps.paychex.com,1,1,,,,,,
apps.availity.com,71,64,,,,,,
mrexcel.com,136,2,,,,,,
more.starfall.com,1,0,,,,,,
elpasoinc.com,2,0,,,,,,
search.ask.com,14,11,,,,,,
business.financialpost.com,3,0,,,,,,
diepkhuc.com,442,0,,,,,,
channel.nationalgeographic.com,1,0,,,,,,
vanguardia.com,1,0,,,,,,
clients.mindbodyonline.com,143,115,,,,,,
community.sparknotes.com,19,3,,,,,,
necn.com,1,0,,,,,,
go.teamsnap.com,11,11,,,,,,
forex.timezoneconverter.com,64,0,,,,,,
ca.creaders.net,81,64,,,,,,
auctions.mlb.com,1,1,,,,,,
shop.lululemon.com,91,82,,,,,,
yupptv.com,2,0,,,,,,
search.norton.com,16,12,,,,,,
identitysafe.norton.com,3,3,,,,,,
search.mlslistings.com,1,1,,,,,,
reviewgamezone.com,7,0,,,,,,
keyhero.com,942,613,,,,,,
ilovepdf.com,522,0,,,,,,
metronomeonline.com,25,0,,,,,,
nl.glosbe.com,18,0,,,,,,
vi.glosbe.com,5,0,,,,,,
nbcwashington.com,3,2,,,,,,
payless.com,31,24,,,,,,
news.mingpao.com,2,2,,,,,,
videos.postandcourier.com,2,0,,,,,,
app.studyisland.com,4,1,,,,,,
notizie.yahoo.com,2,0,,,,,,
nachrichten.yahoo.com,2,0,,,,,,
grandrapidsmn.com,1,0,,,,,,
designbump.com,62,9,,,,,,
business.lovetoknow.com,1,0,,,,,,
fun.games.com,6,0,,,,,,
gsalr.com,2,2,,,,,,
rentalcars.com,1,0,,,,,,
sport.bt.com,3,2,,,,,,
account.suddenlink.net,120,101,,,,,,
index.about.com,110,76,,,,,,
tinyurl.com,38,0,,,,,,
gregtangmath.com,1,1,,,,,,
tuasaude.com,6,0,,,,,,
registration.excite.com,1,0,,,,,,
accountingexplained.com,10,0,,,,,,
mybeerbuzz.blogspot.com,1,1,,,,,,
heartharena.com,6,0,,,,,,
portal.pixelfederation.com,1,0,,,,,,
certapet.com,9,0,,,,,,
jazzradio.com,11,0,,,,,,
tractordata.com,5,0,,,,,,
apps.skype.com,41,40,,,,,,
adserver.radioserversfive.com,3,0,,,,,,
games2rule.com,33,0,,,,,,
uk.soccerway.com,1,1,,,,,,
es.soccerway.com,45,0,,,,,,
glwiz.com,43,0,,,,,,
bigfarm.goodgamestudios.com,7,3,,,,,,
fox.com.tr,1,1,,,,,,
homes.trovit.com,4,2,,,,,,
payments.ebay.com,15,12,,,,,,
hardwaresecrets.com,1,0,,,,,,
greenbot.com,86,0,,,,,,
ph.theasianparent.com,1,0,,,,,,
le10sport.com,10,0,,,,,,
online-translator.com,4,0,,,,,,
www73.myfantasyleague.com,6,6,,,,,,
www77.myfantasyleague.com,6,6,,,,,,
content.overwolf.com,20719,30,,,,,,
my.norton.com,4,4,,,,,,
b.hostedemail.com,4,0,,,,,,
lol.disney.com,20,16,,,,,,
cmx.weightwatchers.com,1,1,,,,,,
www79.myfantasyleague.com,4,3,,,,,,
retail-dollargeneral.icims.com,1,1,,,,,,
companies.bizjournals.com,3,0,,,,,,
path.shareyourfreebies.com,2,2,,,,,,
www2.hudl.com,1,0,,,,,,
motd.motdgd.com,152,0,,,,,,
interactive.wkyc.com,10,0,,,,,,
search.searchmabb.com,789,660,,,,,,
search.excite.com,8,5,,,,,,
coolimba.com,12319,141,,,,,,
games.wtop.com,18,0,,,,,,
history.creaders.net,257,223,,,,,,
vplayer.techtimes.com,2,0,,,,,,
1019thelake.com,1,0,,,,,,
falsified-website.com,896,395,,,,,,
externals.streema.com,1,0,,,,,,
fbastream59.blogspot.com,10,1,,,,,,
N/A,0,0,,,,,,
imasdk.googleapis.com,0,0,,,,,,
bustle.com,0,0,,,,,,
gimmesomeoven.com,0,0,,,,,,
wordhippo.com,0,0,,,,,,
cheezburger.com,0,0,,,,,,
comicbook.com,0,0,,,,,,
offbeat.topix.com,0,0,,,,,,
funeducation.com,0,0,,,,,,
latimes.com,0,0,,,,,,
mashable.com,0,0,,,,,,
odometer.com,0,0,,,,,,
cookieandkate.com,0,0,,,,,,
allrecipes.com,0,0,,,,,,
twentytwowords.com,0,0,,,,,,
theprairiehomestead.com,0,0,,,,,,
msn.com,0,0,,,,,,
maplestage.com,0,0,,,,,,
iheartnaptime.net,0,0,,,,,,
tomshardware.com,0,0,,,,,,
shefinds.com,0,0,,,,,,
lifebuzz.com,0,0,,,,,,
newstatesman.com,0,0,,,,,,
gocomics.com,0,0,,,,,,
lilluna.com,0,0,,,,,,
sallysbakingaddiction.com,0,0,,,,,,
magiquiz.com,0,0,,,,,,
adserver.popyard.com,0,0,,,,,,
gaiaonline.com,0,0,,,,,,
superhealthykids.com,0,0,,,,,,
therecipecritic.com,0,0,,,,,,
tumblr.com,0,0,,,,,,
miamiherald.com,0,0,,,,,,
eatingonadime.com,0,0,,,,,,
tpc.googlesyndication.com,0,0,,,,,,
news.keralakaumudi.com,0,0,,,,,,
smh.com.au,0,0,,,,,,
mylifetime.com,0,0,,,,,,
dailyrecord.co.uk,0,0,,,,,,
gainesvilletimes.com,0,0,,,,,,
manualslib.com,0,0,,,,,,
football365.com,0,0,,,,,,
uexpress.com,0,0,,,,,,
oombawkadesigncrochet.com,0,0,,,,,,
closetcooking.com,0,0,,,,,,
divascancook.com,0,0,,,,,,
momontimeout.com,0,0,,,,,,
kansascity.com,0,0,,,,,,
insidethemagic.net,0,0,,,,,,
disneyfanatic.com,0,0,,,,,,
mom.me,0,0,,,,,,
newschannel5.com,0,0,,,,,,
inspiremore.com,0,0,,,,,,
lifedaily.com,0,0,,,,,,
halfbakedharvest.com,0,0,,,,,,
teamtalk.com,0,0,,,,,,
washingtonexaminer.com,0,0,,,,,,
livesimply.me,0,0,,,,,,
liverpoolecho.co.uk,0,0,,,,,,
jocooks.com,0,0,,,,,,
ibreatheimhungry.com,0,0,,,,,,
thegrio.com,0,0,,,,,,
kalynskitchen.com,0,0,,,,,,
louderwithcrowder.com,0,0,,,,,,
parents.com,0,0,,,,,,
laylita.com,0,0,,,,,,
thehealthyhomeeconomist.com,0,0,,,,,,
clipd.com,0,0,,,,,,
tvline.com,0,0,,,,,,
fox5dc.com,0,0,,,,,,
fitting-it-all-in.com,0,0,,,,,,
minimalistbaker.com,0,0,,,,,,
chroniclelive.co.uk,0,0,,,,,,
poughkeepsiejournal.com,0,0,,,,,,
americanheritagecooking.com,0,0,,,,,,
manchestereveningnews.co.uk,0,0,,,,,,
history.com,0,0,,,,,,
beta.ajitjalandhar.com,0,0,,,,,,
damndelicious.net,0,0,,,,,,
themarysue.com,0,0,,,,,,
kraftrecipes.com,0,0,,,,,,
scrabblecheat.com,0,0,,,,,,
sltrib.com,0,0,,,,,,
viralthread.com,0,0,,,,,,
friv.com,0,0,,,,,,
macworld.com,0,0,,,,,,
drugs.com,0,0,,,,,,
sherdog.com,0,0,,,,,,
es.meaww.com,0,0,,,,,,
refinery29.com,0,0,,,,,,
lsusports.net,0,0,,,,,,
themagicalslowcooker.com,0,0,,,,,,
mma-core.com,0,0,,,,,,
hi5.com,0,0,,,,,,
m.hi5.com,0,0,,,,,,
pcworld.com,0,0,,,,,,
goodtoknow.co.uk,0,0,,,,,,
cristcdl.com,0,0,,,,,,
uscho.com,0,0,,,,,,
strawpoll.me,0,0,,,,,,
yellowblissroad.com,0,0,,,,,,
telugu.oneindia.com,0,0,,,,,,
ninjajournalist.com,0,0,,,,,,
akilanews.com,0,0,,,,,,
androidauthority.com,0,0,,,,,,
tigerboard.com,0,0,,,,,,
timebie.com,0,0,,,,,,
thescore.com,0,0,,,,,,
skinnyms.com,0,0,,,,,,
lovegrowswild.com,0,0,,,,,,
freep.com,0,0,,,,,,
cincinnati.com,0,0,,,,,,
fantasynamegenerators.com,0,0,,,,,,
crunchycreamysweet.com,0,0,,,,,,
writersdigest.com,0,0,,,,,,
deepika.com,0,0,,,,,,
elwatan.com,0,0,,,,,,
astrology.com,0,0,,,,,,
liveonlineradio.net,0,0,,,,,,
abc11.com,0,0,,,,,,
worldtimebuddy.com,0,0,,,,,,
kptv.com,0,0,,,,,,
iwin.com,0,0,,,,,,
americanpregnancy.org,0,0,,,,,,
variety.com,0,0,,,,,,
webmailbb.juno.com,0,0,,,,,,
tastesoflizzyt.com,0,0,,,,,,
mobile.nytimes.com,0,0,,,,,,
dmv-written-test.com,0,0,,,,,,
villages-news.com,0,0,,,,,,
twopeasandtheirpod.com,0,0,,,,,,
a2zwordfinder.com,0,0,,,,,,
123telugu.com,0,0,,,,,,
unilad.co.uk,0,0,,,,,,
m.goliath.com,0,0,,,,,,
tasteofcountry.com,0,0,,,,,,
upi.com,0,0,,,,,,
distractify.com,0,0,,,,,,
emisorasunidas.com,0,0,,,,,,
ultimateclassicrock.com,0,0,,,,,,
kiwireport.com,0,0,,,,,,
factmonster.com,0,0,,,,,,
mooglyblog.com,0,0,,,,,,
leoaffairs.com,0,0,,,,,,
commercecentral.yahoo.com,0,0,,,,,,
creators.com,0,0,,,,,,
pattern-paradise.com,0,0,,,,,,
theartofdoingstuff.com,0,0,,,,,,
financialexpress.com,0,0,,,,,,
foodbeast.com,0,0,,,,,,
meaningfulmama.com,0,0,,,,,,
askamanager.org,0,0,,,,,,
bollywoodhungama.com,0,0,,,,,,
theweek.com,0,0,,,,,,
realhousemoms.com,0,0,,,,,,
tradingeconomics.com,0,0,,,,,,
mentertained.com,0,0,,,,,,
pauladeen.com,0,0,,,,,,
m.tagged.com,0,0,,,,,,
forums.watchuseek.com,0,0,,,,,,
emisoras.com.mx,0,0,,,,,,
dolartoday.com,0,0,,,,,,
collegehumor.com,0,0,,,,,,
ibtimes.co.in,0,0,,,,,,
charlotteobserver.com,0,0,,,,,,
cibercuba.com,0,0,,,,,,
zemtv.com,0,0,,,,,,
thestate.com,0,0,,,,,,
leagueoflegends.wikia.com,0,0,,,,,,
villains.wikia.com,0,0,,,,,,
capitalfm.com,0,0,,,,,,
ads.yahoo.com,0,0,,,,,,
attitude.co.uk,0,0,,,,,,
break.com,0,0,,,,,,
thedrive.com,0,0,,,,,,
livestrong.com,0,0,,,,,,
star-telegram.com,0,0,,,,,,
komando.com,0,0,,,,,,
allwomenstalk.com,0,0,,,,,,
m.newsok.com,0,0,,,,,,
redding.com,0,0,,,,,,
nationalenquirer.com,0,0,,,,,,
simplyrecipes.com,0,0,,,,,,
vcstar.com,0,0,,,,,,
m.gazeta.ru,0,0,,,,,,
wpxi.com,0,0,,,,,,
oascentral.sears.com,0,0,,,,,,
m.lenta.ru,0,0,,,,,,
ap7am.com,0,0,,,,,,
redcafe.net,0,0,,,,,,
yogajournal.com,0,0,,,,,,
vintagerevivals.com,0,0,,,,,,
love.allwomenstalk.com,0,0,,,,,,
wrestleview.com,0,0,,,,,,
dinnerthendessert.com,0,0,,,,,,
beap-bc.yahoo.com,0,0,,,,,,
dslreports.com,0,0,,,,,,
m.bhaskar.com,0,0,,,,,,
gallery.123telugu.com,0,0,,,,,,
scarysymptoms.com,0,0,,,,,,
m.timesofindia.com,0,0,,,,,,
courier-journal.com,0,0,,,,,,
vladtv.com,0,0,,,,,,
younghouselove.com,0,0,,,,,,
justalittlecreativity.com,0,0,,,,,,
wiadomosci.gazeta.pl,0,0,,,,,,
s.yimg.com,0,0,,,,,,
artofmanliness.com,0,0,,,,,,
siamsport.co.th,0,0,,,,,,
m.economictimes.com,0,0,,,,,,
entertainment.kompas.com,0,0,,,,,,
nickiswift.com,0,0,,,,,,
sport1.de,0,0,,,,,,
m.sfgate.com,0,0,,,,,,
m.kusports.com,0,0,,,,,,
streamable.com,0,0,,,,,,
lifehacker.com.au,0,0,,,,,,
tellychakkar.com,0,0,,,,,,
thenextweb.com,0,0,,,,,,
m.wafb.com,0,0,,,,,,
marinij.com,0,0,,,,,,
cdn.playwire.com,0,0,,,,,,
gettyimages.com,0,0,,,,,,
sports.ltn.com.tw,0,0,,,,,,
igcritic.com,0,0,,,,,,
techadvisor.co.uk,0,0,,,,,,
thenewsminute.com,0,0,,,,,,
ba-bamail.com,0,0,,,,,,
planetf1.com,0,0,,,,,,
scoopwhoop.com,0,0,,,,,,
gameinformer.com,0,0,,,,,,
aax-us-pdx.amazon-adsystem.com,0,0,,,,,,
aax-us-east.amazon-adsystem.com,0,0,,,,,,
games.softgames.de,0,0,,,,,,
m.wmbfnews.com,0,0,,,,,,
classicfm.com,0,0,,,,,,
ad.hani.co.kr,0,0,,,,,,
historynet.com,0,0,,,,,,
marieclaire.co.uk,0,0,,,,,,
phins.com,0,0,,,,,,
theringer.com,0,0,,,,,,
m.wtoc.com,0,0,,,,,,
romper.com,0,0,,,,,,
echo.msk.ru,0,0,,,,,,
theclemsoninsider.com,0,0,,,,,,
forums.theclemsoninsider.com,0,0,,,,,,
portal.abczdrowie.pl,0,0,,,,,,
theroot.com,0,0,,,,,,
thelemonbowl.com,0,0,,,,,,
ittefaq.com.bd,0,0,,,,,,
momjunction.com,0,0,,,,,,
designbump.com,0,0,,,,,,
publimetro.cl,0,0,,,,,,
giveitlove.com,0,0,,,,,,
dainikamadershomoy.com,0,0,,,,,,
thereallife-rd.com,0,0,,,,,,
ampproject.net,0,0,,,,,,
m.warhistoryonline.com,0,0,,,,,,
mommypotamus.com,0,0,,,,,,
ca-g2.gumgum.com,0,0,,,,,,
va-g2.gumgum.com,0,0,,,,,,
corporate.findlaw.com,0,0,,,,,,
astrology-zodiac-signs.com,0,0,,,,,,
eurosport.fr,0,0,,,,,,
powerofpositivity.com,0,0,,,,,,
tellyreviews.com,0,0,,,,,,
soapoperadigest.com,0,0,,,,,,
m.wlox.com,0,0,,,,,,
wnyc.org,0,0,,,,,,
maxifoot.fr,0,0,,,,,,
pluto.tv,0,0,,,,,,
healthyway.com,0,0,,,,,,
thelist.com,0,0,,,,,,
geographic.org,0,0,,,,,,
aventurasnahistoria.uol.com.br,0,0,,,,,,
phunuonline.com.vn,0,0,,,,,,
nseavoice.com,0,0,,,,,,
epaper.sandesh.com,0,0,,,,,,
telesurtv.net,0,0,,,,,,
tekno.kompas.com,0,0,,,,,,
otomotif.kompas.com,0,0,,,,,,
obsev.com,0,0,,,,,,
vix.com,0,0,,,,,,
localadventurer.com,0,0,,,,,,
radios.com.pe,0,0,,,,,,
topmercato.com,0,0,,,,,,
m.wsfa.com,0,0,,,,,,
expertblogz.com,0,0,,,,,,
lemonidolshow.com,0,0,,,,,,
hooch.net,0,0,,,,,,
thisisinsider.com,0,0,,,,,,
textfree.us,0,0,,,,,,
footballwhispers.com,0,0,,,,,,
signup.com,0,0,,,,,,
vicioussyndicate.com,0,0,,,,,,
Mobile In-App,0,0,,,,,,
mashed.com,0,0,,,,,,
fr.meow-share.com,0,0,,,,,,
apost.com,0,0,,,,,,
tag-stage.contextweb.com,0,0,,,,,,
sandbox.pulsepoint.com,0,0,,,,,,
bestlib4u.net,0,0,,,,,,
adserver.curiouscat.me,0,0,,,,,,
rightlog.in,0,0,,,,,,
lynx.media,0,0,,,,,,
urbanian.mundodeportivo.com,0,0,,,,,,
wittyfeed.me,0,0,,,,,,
popbuzz.com,0,0,,,,,,
news.thegedsection.com,0,0,,,,,,
m.diletant.media,0,0,,,,,,
m.manhuagui.com,0,0,,,,,,
bollyfunda.online,0,0,,,,,,
sexual-health.knoji.com,0,0,,,,,,
N/A,0,0,,,,,,
imasdk.googleapis.com,0,0,,,,,,
cheezburger.com,0,0,,,,,,
comicbook.com,0,0,,,,,,
thesimsresource.com,0,0,,,,,,
offbeat.topix.com,0,0,,,,,,
stars.topix.com,0,0,,,,,,
inkedmag.com,0,0,,,,,,
futhead.com,0,0,,,,,,
odometer.com,0,0,,,,,,
cookieandkate.com,0,0,,,,,,
allrecipes.com,0,0,,,,,,
theprairiehomestead.com,0,0,,,,,,
yourdailydish.com,0,0,,,,,,
maplestage.com,0,0,,,,,,
iheartnaptime.net,0,0,,,,,,
suggest.com,0,0,,,,,,
shefinds.com,0,0,,,,,,
xojane.com,0,0,,,,,,
lifebuzz.com,0,0,,,,,,
newstatesman.com,0,0,,,,,,
lilluna.com,0,0,,,,,,
sallysbakingaddiction.com,0,0,,,,,,
magiquiz.com,0,0,,,,,,
superhealthykids.com,0,0,,,,,,
guff.com,0,0,,,,,,
tagged.com,0,0,,,,,,
therecipecritic.com,0,0,,,,,,
tumblr.com,0,0,,,,,,
miamiherald.com,0,0,,,,,,
covers.com,0,0,,,,,,
tpc.googlesyndication.com,0,0,,,,,,
news.keralakaumudi.com,0,0,,,,,,
smh.com.au,0,0,,,,,,
theage.com.au,0,0,,,,,,
mylifetime.com,0,0,,,,,,
football365.com,0,0,,,,,,
indianexpress.com,0,0,,,,,,
uexpress.com,0,0,,,,,,
oombawkadesigncrochet.com,0,0,,,,,,
closetcooking.com,0,0,,,,,,
divascancook.com,0,0,,,,,,
flyordie.com,0,0,,,,,,
momontimeout.com,0,0,,,,,,
nationalreview.com,0,0,,,,,,
kansascity.com,0,0,,,,,,
disneyfanatic.com,0,0,,,,,,
lifedaily.com,0,0,,,,,,
airliners.net,0,0,,,,,,
usdriving.net,0,0,,,,,,
halfbakedharvest.com,0,0,,,,,,
thegrio.com,0,0,,,,,,
express.pk,0,0,,,,,,
goliath.com,0,0,,,,,,
clipd.com,0,0,,,,,,
minimalistbaker.com,0,0,,,,,,
americanheritagecooking.com,0,0,,,,,,
manchestereveningnews.co.uk,0,0,,,,,,
beta.ajitjalandhar.com,0,0,,,,,,
damndelicious.net,0,0,,,,,,
themarysue.com,0,0,,,,,,
kraftrecipes.com,0,0,,,,,,
iloveoldschoolmusic.com,0,0,,,,,,
scrabblecheat.com,0,0,,,,,,
sltrib.com,0,0,,,,,,
sherdog.com,0,0,,,,,,
mma-core.com,0,0,,,,,,
hi5.com,0,0,,,,,,
m.hi5.com,0,0,,,,,,
pcworld.com,0,0,,,,,,
cristcdl.com,0,0,,,,,,
strawpoll.me,0,0,,,,,,
telugu.oneindia.com,0,0,,,,,,
akilanews.com,0,0,,,,,,
androidauthority.com,0,0,,,,,,
newsobserver.com,0,0,,,,,,
thescore.com,0,0,,,,,,
lovegrowswild.com,0,0,,,,,,
writersdigest.com,0,0,,,,,,
blog.boxun.com,0,0,,,,,,
abc11.com,0,0,,,,,,
soundofhope.org,0,0,,,,,,
kptv.com,0,0,,,,,,
americanpregnancy.org,0,0,,,,,,
jsonline.com,0,0,,,,,,
azgrabaplate.com,0,0,,,,,,
rd.com,0,0,,,,,,
whats-on-netflix.com,0,0,,,,,,
dmv-written-test.com,0,0,,,,,,
villages-news.com,0,0,,,,,,
funcheaporfree.com,0,0,,,,,,
unilad.co.uk,0,0,,,,,,
m.goliath.com,0,0,,,,,,
lamebook.com,0,0,,,,,,
tasteofcountry.com,0,0,,,,,,
upi.com,0,0,,,,,,
distractify.com,0,0,,,,,,
emisorasunidas.com,0,0,,,,,,
ultimateclassicrock.com,0,0,,,,,,
mooglyblog.com,0,0,,,,,,
thedroidguy.com,0,0,,,,,,
leoaffairs.com,0,0,,,,,,
psymed.info,0,0,,,,,,
pattern-paradise.com,0,0,,,,,,
financialexpress.com,0,0,,,,,,
foodbeast.com,0,0,,,,,,
overthecap.com,0,0,,,,,,
realhousemoms.com,0,0,,,,,,
pauladeen.com,0,0,,,,,,
dolartoday.com,0,0,,,,,,
collegehumor.com,0,0,,,,,,
ibtimes.co.in,0,0,,,,,,
charlotteobserver.com,0,0,,,,,,
dcfever.com,0,0,,,,,,
inmyownstyle.com,0,0,,,,,,
cibercuba.com,0,0,,,,,,
zemtv.com,0,0,,,,,,
attitude.co.uk,0,0,,,,,,
mundo.com,0,0,,,,,,
break.com,0,0,,,,,,
thedrive.com,0,0,,,,,,
star-telegram.com,0,0,,,,,,
tellwut.com,0,0,,,,,,
komando.com,0,0,,,,,,
desmoinesregister.com,0,0,,,,,,
capricho.abril.com.br,0,0,,,,,,
wp.pl,0,0,,,,,,
redding.com,0,0,,,,,,
lejdd.fr,0,0,,,,,,
simplyrecipes.com,0,0,,,,,,
m.lenta.ru,0,0,,,,,,
elheraldo.hn,0,0,,,,,,
translate.weblio.jp,0,0,,,,,,
m.excelsior.com.mx,0,0,,,,,,
g.doubleclick.net,0,0,,,,,,
horoscope.com,0,0,,,,,,
timeout.com,0,0,,,,,,
wrestleview.com,0,0,,,,,,
dinnerthendessert.com,0,0,,,,,,
beap-bc.yahoo.com,0,0,,,,,,
telegram.hr,0,0,,,,,,
m.timesofindia.com,0,0,,,,,,
tallahassee.com,0,0,,,,,,
fantasysports.yahoo.com,0,0,,,,,,
younghouselove.com,0,0,,,,,,
justalittlecreativity.com,0,0,,,,,,
wiadomosci.gazeta.pl,0,0,,,,,,
s.yimg.com,0,0,,,,,,
artofmanliness.com,0,0,,,,,,
entertainment.kompas.com,0,0,,,,,,
nickiswift.com,0,0,,,,,,
sport1.de,0,0,,,,,,
streamable.com,0,0,,,,,,
ad.360yield.com,0,0,,,,,,
lifehacker.com.au,0,0,,,,,,
tellychakkar.com,0,0,,,,,,
thenextweb.com,0,0,,,,,,
cdn.playwire.com,0,0,,,,,,
m.leparisien.fr,0,0,,,,,,
gettyimages.com,0,0,,,,,,
jomashop.com,0,0,,,,,,
techadvisor.co.uk,0,0,,,,,,
m.cherry123.com,0,0,,,,,,
thenewsminute.com,0,0,,,,,,
m.youm7.com,0,0,,,,,,
planetf1.com,0,0,,,,,,
scoopwhoop.com,0,0,,,,,,
aax-us-pdx.amazon-adsystem.com,0,0,,,,,,
aax-us-east.amazon-adsystem.com,0,0,,,,,,
cooktopcove.com,0,0,,,,,,
m.gazette.com,0,0,,,,,,
icepop.com,0,0,,,,,,
classicfm.com,0,0,,,,,,
ad.hani.co.kr,0,0,,,,,,
h21.hani.co.kr,0,0,,,,,,
historynet.com,0,0,,,,,,
autokult.pl,0,0,,,,,,
romper.com,0,0,,,,,,
echo.msk.ru,0,0,,,,,,
theclemsoninsider.com,0,0,,,,,,
forums.theclemsoninsider.com,0,0,,,,,,
portal.abczdrowie.pl,0,0,,,,,,
theroot.com,0,0,,,,,,
momjunction.com,0,0,,,,,,
designbump.com,0,0,,,,,,
publimetro.cl,0,0,,,,,,
giveitlove.com,0,0,,,,,,
thereallife-rd.com,0,0,,,,,,
ampproject.net,0,0,,,,,,
m.warhistoryonline.com,0,0,,,,,,
ca-g2.gumgum.com,0,0,,,,,,
va-g2.gumgum.com,0,0,,,,,,
m.viva.co.id,0,0,,,,,,
astrology-zodiac-signs.com,0,0,,,,,,
eurosport.fr,0,0,,,,,,
sweetyhigh.com,0,0,,,,,,
acento.com.do,0,0,,,,,,
thegoatspot.net,0,0,,,,,,
pluto.tv,0,0,,,,,,
healthyway.com,0,0,,,,,,
thelist.com,0,0,,,,,,
aventurasnahistoria.uol.com.br,0,0,,,,,,
telesurtv.net,0,0,,,,,,
properti.kompas.com,0,0,,,,,,
otomotif.kompas.com,0,0,,,,,,
vix.com,0,0,,,,,,
radiox.co.uk,0,0,,,,,,
freshcrush.com,0,0,,,,,,
topmercato.com,0,0,,,,,,
slowcooker-potato.cooktopcove.com,0,0,,,,,,
standardnews.com,0,0,,,,,,
m.bomtan.net,0,0,,,,,,
m.sport1.de,0,0,,,,,,
footballwhispers.com,0,0,,,,,,
vegetarian.cooktopcove.com,0,0,,,,,,
apost.com,0,0,,,,,,
opslens.com,0,0,,,,,,
increible.co,0,0,,,,,,
sandbox.pulsepoint.com,0,0,,,,,,
idealhome.co.uk,0,0,,,,,,
adserver.curiouscat.me,0,0,,,,,,
lynx.media,0,0,,,,,,
popculture.com,0,0,,,,,,
